"Step","Species","SdlAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"PICO",12,0,0,0,"Sig","Sig"
5,"PICO",12,0,0,0,"Sig","Sig"
10,"PICO",10,0,0,0,"Sig","Sig"
15,"PICO",8,0,0,0,"Sig","Sig"
17,"PICO",2,0,0,0,"Sig","Sig"
19,"PICO",9,0,0,0,"Sig","Sig"
24,"PICO",10,0,0,0,"Sig","Sig"
29,"PICO",9,0,1,1,"NS","NS"
18,"PIJE",2,0,0,0,"Sig","Sig"
20,"PIJE",2,0,0,0,"Sig","Sig"
21,"PIJE",2,0,0,0,"Sig","Sig"
22,"PIJE",1,0,0,0,"Sig","Sig"
24,"PIJE",4,0,0,0,"Sig","Sig"
1,"PIMO",139,1.8666675,0,5.5396504244321e-20,"Sig","Sig"
5,"PIMO",136,6.666671,0,5.09400530913908e-17,"Sig","Sig"
10,"PIMO",123,11.822226,0,1.82052225308126e-15,"Sig","Sig"
15,"PIMO",115,15.644438,0,3.11756621564742e-14,"Sig","Sig"
16,"PIMO",1,16.533336,0.505791084808654,1.16491554886154e-06,"NS","Sig"
17,"PIMO",1,16.355558,0.0571255302104029,3.06377381416106e-07,"NS","Sig"
18,"PIMO",1,16.08889,0.0335505200200059,7.48918431638752e-08,"Sig","Sig"
19,"PIMO",197,16.622229,0,1.87927603897321e-16,"Sig","Sig"
20,"PIMO",6,15.733338,0.308986660669127,8.76950721373962e-06,"NS","Sig"
21,"PIMO",2,17.15556,0.087609618252642,2.85271028046207e-07,"NS","Sig"
23,"PIMO",1,17.688902,0.167057171805511,7.95021289152239e-06,"NS","Sig"
24,"PIMO",214,17.422218,0,8.30225735742717e-17,"Sig","Sig"
29,"PIMO",230,0,1,1,"NS","NS"
