"Step","Species","SaplAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",310,309.8,0,0.167850656057097,"Sig","NS"
6,"ABMA",324,308.7,0,2.15081026140406e-12,"Sig","Sig"
11,"ABMA",366,308.7,0,4.05777230014226e-17,"Sig","Sig"
16,"ABMA",369,314.1,0,6.88072653581254e-13,"Sig","Sig"
21,"ABMA",401,329,0,4.72988359613412e-13,"Sig","Sig"
1,"PICO",14,17,0,1,"Sig","NS"
6,"PICO",16,16.9,0,8.53805122316638e-06,"Sig","Sig"
11,"PICO",16,17,0.237086218812503,8.77139713496775e-05,"NS","Sig"
16,"PICO",16,17.9,0.867417720593213,0.000400629490335546,"NS","Sig"
21,"PICO",15,19.9,0.237086218812503,1.27525670109024e-06,"NS","Sig"
