"Step","Species","AdultAbsBA","simMean","pval","signif"
1,"ABCO",39.81285304,14.4848,4.55096388842155e-20,"Sig"
7,"ABCO",40.09226677,14.28624,5.33564111200498e-19,"Sig"
13,"ABCO",38.26280265,14.08113,2.46304179015229e-17,"Sig"
18,"ABCO",41.36284256,13.86747,3.65167797828583e-17,"Sig"
23,"ABCO",36.77109653,13.93506,3.74090412530774e-16,"Sig"
28,"ABCO",34.84710786,13.7659,9.79087999951218e-15,"Sig"
1,"ABMA",0.02061204,0,0,"Sig"
7,"ABMA",0.025165,0,0,"Sig"
13,"ABMA",0.029637853,0,0,"Sig"
18,"ABMA",0.036583931,0,0,"Sig"
23,"ABMA",0.042594601,0,0,"Sig"
28,"ABMA",0.051377726,0,0,"Sig"
1,"CADE",5.306942349,7.329348,2.39879513226111e-11,"Sig"
7,"CADE",5.599432328,7.210624,1.76341792265528e-08,"Sig"
13,"CADE",5.969075285,6.940248,0.000222321826479646,"Sig"
18,"CADE",6.342942278,6.55248,0.182935534699784,"NS"
23,"CADE",6.741611282,6.236314,0.0413285064751464,"Sig"
28,"CADE",7.16953411,6.105544,0.00109298337445433,"Sig"
1,"PILA",28.92528124,41.03029,1.56266818834168e-12,"Sig"
7,"PILA",29.35434969,38.61276,1.50882883955023e-06,"Sig"
13,"PILA",23.78918586,36.54077,1.47138074443392e-06,"Sig"
18,"PILA",24.37723804,34.06116,0.000508334632430319,"Sig"
23,"PILA",22.9420109,30.49531,0.00387261663466478,"Sig"
28,"PILA",23.77426849,28.12268,0.0710460929200881,"NS"
1,"PIPO",0.007032471,0,0,"Sig"
7,"PIPO",0.005410621,0,0,"Sig"
1,"QUKE",0.0468334,0.096536615,0.000827987360192086,"Sig"
7,"QUKE",0.050086529,0.077537372,0.112284628902258,"NS"
13,"QUKE",0.060658796,0.079162464,0.269587435455579,"NS"
18,"QUKE",0.038102893,0.069536225,0.101544336111158,"NS"
23,"QUKE",0.041391365,0.070796803,0.126328342247033,"NS"
28,"QUKE",0.047439731,0.060949654,0.486532344241716,"NS"
