"Step","Species","AdultAbsDen","simMean","pval","signif"
1,"ABMA",1623,191.8779,2.75342908097302e-35,"Sig"
6,"ABMA",1554,196.1778,8.66884226165116e-32,"Sig"
11,"ABMA",1477,199.5335,1.43076524263953e-31,"Sig"
16,"ABMA",1348,202.7111,4.71778952250576e-30,"Sig"
21,"ABMA",1228,207.9334,2.98814881912226e-28,"Sig"
1,"PIMO",7,1.522224,1.34061635731135e-19,"Sig"
6,"PIMO",7,1.544445,2.29494335604702e-16,"Sig"
11,"PIMO",7,1.700002,1.72022983289203e-15,"Sig"
16,"PIMO",7,1.744445,5.41670392840553e-14,"Sig"
21,"PIMO",5,1.966667,4.30194933594829e-12,"Sig"
