"Step","Species","AdultAbsBA","simMean","pval","signif"
1,"ABMA",100.5079451,67.22695,1.4840188327789e-23,"Sig"
6,"ABMA",104.0460566,67.88141,9.4748893467254e-17,"Sig"
11,"ABMA",106.7590529,68.20008,1.59682949714187e-15,"Sig"
16,"ABMA",109.5121569,68.78436,6.94537456384285e-16,"Sig"
21,"ABMA",111.2301741,69.84181,5.23464250887494e-16,"Sig"
1,"PIMO",0.135669211,0.08338925,1.11413619381221e-11,"Sig"
6,"PIMO",0.149216575,0.08894502,1.73427761021097e-09,"Sig"
11,"PIMO",0.161577986,0.09560951,8.65994063295641e-09,"Sig"
16,"PIMO",0.168960746,0.10370544,2.12609217664381e-07,"Sig"
21,"PIMO",0.174766423,0.11513196,1.12295775420311e-06,"Sig"
