"Step","Species","AdultAbsBA","simMean","pval","signif"
1,"ABMA",96.84838877,192.4597,1.85813424927038e-24,"Sig"
6,"ABMA",97.52063023,192.7131,3.80944665514316e-19,"Sig"
11,"ABMA",94.43564576,192.1283,1.66378504644713e-16,"Sig"
16,"ABMA",91.25577994,192.0718,3.78384689721101e-15,"Sig"
21,"ABMA",88.46650645,192.1305,8.38979577468619e-16,"Sig"
1,"PIMO",0.020687436,0,0,"Sig"
6,"PIMO",0.023809402,0,0,"Sig"
11,"PIMO",0.01586508,0,0,"Sig"
16,"PIMO",0.01993031,0,0,"Sig"
21,"PIMO",0.022551976,0.00199724,3.86354592671073e-13,"Sig"
