"Step","Species","AdultAbsDen","simMean","pval","signif"
1,"PICO",2,0.222222,1,"NS"
5,"PICO",2,0.1888887,2.8292406996481e-15,"Sig"
10,"PICO",4,0.1777776,6.22787319420807e-18,"Sig"
15,"PICO",6,0.1666665,2.3469728029479e-18,"Sig"
19,"PICO",7,0.1666665,5.65124891229989e-19,"Sig"
24,"PICO",8,0.1444443,6.33531607692092e-19,"Sig"
29,"PICO",9,0.1444443,2.1550846063782e-19,"Sig"
1,"PIMO",87,37.14443,8.22368139957298e-22,"Sig"
5,"PIMO",90,36.75556,1.57260864352627e-19,"Sig"
10,"PIMO",93,36.15555,2.99431264585132e-19,"Sig"
15,"PIMO",105,37.55555,4.66062823331468e-19,"Sig"
19,"PIMO",190,37.74444,1.77550637576646e-22,"Sig"
24,"PIMO",208,37.77778,6.47501475510839e-22,"Sig"
29,"PIMO",226,37.73334,2.81743710925059e-22,"Sig"
