"Step","Species","AdultAbsBA","simMean","pval","signif"
1,"ABCO",8.225156478,14.48749,1.86149188377777e-12,"Sig"
6,"ABCO",8.558441753,14.2882,1.99904464795885e-10,"Sig"
11,"ABCO",8.60228985,14.1845,3.58014252490001e-09,"Sig"
16,"ABCO",9.553299294,14.00814,3.57272949948046e-08,"Sig"
21,"ABCO",10.69337808,13.87264,2.74638775810777e-06,"Sig"
1,"CADE",26.30695258,27.50877,1.3440207409223e-11,"Sig"
6,"CADE",27.54093222,27.5871,0.602653185088637,"NS"
11,"CADE",29.41467906,27.73361,6.03412944832129e-07,"Sig"
16,"CADE",30.98351713,27.89023,3.05602680232403e-09,"Sig"
21,"CADE",31.68296924,28.02362,1.52405103667752e-09,"Sig"
1,"PILA",1.565750663,1.698349,0.0001313507845458,"Sig"
6,"PILA",1.680348377,1.593234,0.0460056292926778,"Sig"
11,"PILA",1.975410591,1.482703,3.05504929967418e-06,"Sig"
16,"PILA",2.307715687,1.426463,2.15325120169207e-08,"Sig"
21,"PILA",2.568946796,1.36219,4.50234918406644e-10,"Sig"
1,"PIPO",17.41989711,31.72483,4.80219934375133e-12,"Sig"
6,"PIPO",11.30799599,25.55329,3.78812228059597e-07,"Sig"
11,"PIPO",11.61260396,21.65496,1.39290698683895e-07,"Sig"
16,"PIPO",11.66155637,19.41599,1.36552441871282e-06,"Sig"
21,"PIPO",12.04379013,16.97192,0.000159403294225424,"Sig"
1,"QUCH",0.083079612,0.2944659,5.91208991711755e-14,"Sig"
6,"QUCH",0.037016687,0.2658709,2.9437610053735e-09,"Sig"
11,"QUCH",0.021007879,0.2442758,4.69574349725124e-07,"Sig"
16,"QUCH",0.023558513,0.2249381,1.06367227877184e-06,"Sig"
21,"QUCH",0.017660504,0.2063374,6.02680087966088e-06,"Sig"
1,"QUKE",15.1782367,16.11214,4.58371902523528e-13,"Sig"
6,"QUKE",14.68553643,16.15239,6.68238128593171e-13,"Sig"
11,"QUKE",14.90333257,16.11975,5.22849325381184e-11,"Sig"
16,"QUKE",15.42906912,16.10912,1.28990363411535e-06,"Sig"
21,"QUKE",15.31791852,16.04426,1.79982009372615e-05,"Sig"
