"Step","Species","AdultAbsDen","simMean","pval","signif"
1,"ABCO",522,39.28888,3.12354342201082e-31,"Sig"
7,"ABCO",538,38.75558,1.11937478838379e-28,"Sig"
13,"ABCO",539,38.55556,5.72277132815386e-28,"Sig"
18,"ABCO",571,38.64445,6.35635790939162e-27,"Sig"
23,"ABCO",553,39.22223,1.61743326994135e-26,"Sig"
28,"ABCO",525,39.17777,1.37662525597786e-26,"Sig"
1,"ABMA",1,0,0,"Sig"
7,"ABMA",1,0,0,"Sig"
13,"ABMA",2,0,0,"Sig"
18,"ABMA",2,0,0,"Sig"
23,"ABMA",2,0,0,"Sig"
28,"ABMA",2,0,0,"Sig"
1,"CADE",71,13.4111,2.26369062508007e-25,"Sig"
7,"CADE",73,13.02223,7.23336420947782e-21,"Sig"
13,"CADE",85,12.64444,2.10615992553076e-21,"Sig"
18,"CADE",103,12.47777,3.02876838833849e-22,"Sig"
23,"CADE",119,12.22221,8.61172193946528e-25,"Sig"
28,"CADE",120,11.93334,3.12857628177673e-24,"Sig"
1,"PILA",164,16.38888,6.80887111829917e-27,"Sig"
7,"PILA",162,15.37776,9.30754619466509e-26,"Sig"
13,"PILA",122,14.06668,2.63053725215428e-21,"Sig"
18,"PILA",100,12.92222,1.98333072430059e-21,"Sig"
23,"PILA",73,12.04443,1.52427979669007e-18,"Sig"
28,"PILA",69,11.244426,2.93475912492614e-18,"Sig"
1,"PIPO",2,0,0,"Sig"
7,"PIPO",1,0,0,"Sig"
1,"QUKE",5,0.4222218,1.98185916003805e-19,"Sig"
7,"QUKE",7,0.3999996,4.56590773851404e-20,"Sig"
13,"QUKE",18,0.3555552,4.05935430781028e-23,"Sig"
18,"QUKE",27,0.333333,3.58719240805006e-23,"Sig"
23,"QUKE",32,0.3111108,1.52497874615111e-24,"Sig"
28,"QUKE",27,0.2888886,4.40145617504812e-23,"Sig"
