"Step","Species","AdultAbsDen","simMean","pval","signif"
1,"ABMA",1623,196.589,6.43281982216088e-35,"Sig"
6,"ABMA",1554,201.0778,4.64108178714457e-32,"Sig"
11,"ABMA",1477,204.5558,2.48989727045083e-32,"Sig"
16,"ABMA",1348,210.4667,6.09049240495971e-30,"Sig"
21,"ABMA",1228,217.5556,1.64640157087467e-28,"Sig"
1,"PIMO",7,1.544448,3.07175301807943e-21,"Sig"
6,"PIMO",7,1.544446,9.22048158751276e-17,"Sig"
11,"PIMO",7,1.488889,3.74153276874349e-16,"Sig"
16,"PIMO",7,1.622224,4.66317405777624e-16,"Sig"
21,"PIMO",5,1.666669,5.93631197593354e-14,"Sig"
