"Step","Species","SimAbsBA","ExpAbsBA"
1,"ABCO",7.75028823333333,16.6972692457228
6,"ABCO",5.08253645,5.5057769151
7,"ABCO",13.37895,40.0922667679693
11,"ABCO",7.854246,8.60228985
12,"ABCO",1.928819668,2.764403796
13,"ABCO",13.297898,38.2628026521734
16,"ABCO",7.991868,9.553299294
17,"ABCO",1.985427676,2.9168098806
18,"ABCO",13.528284,41.3628425580136
21,"ABCO",7.885018,10.69337808
22,"ABCO",2.04921172,3.1693803834
23,"ABCO",13.772058,36.7710965314624
27,"ABCO",1.97614918,3.1810207968
28,"ABCO",13.973566,34.8471078648
32,"ABCO",2.04528666,2.799051717
1,"ABMA",95.851268,96.8483887734481
6,"ABMA",96.510482,97.520630229036
11,"ABMA",96.995654,94.4356457578324
16,"ABMA",96.57515,91.2557799384
21,"ABMA",97.077964,88.4665064514
28,"ABMA",0.0269284,0.0513777264
1,"CADE",14.7162878,15.806947464165
6,"CADE",27.125338,27.5409322188
7,"CADE",2.08106294,5.59943232804898
11,"CADE",27.133026,29.414679063
13,"CADE",2.11129474,5.9690752853676
16,"CADE",27.019746,30.9835171338
17,"CADE",0.003317932,0.0429527406
18,"CADE",2.1335174,6.3429422775454
21,"CADE",26.67732,31.682969241
22,"CADE",0.004155164,0.0852543846
23,"CADE",2.12619582,6.74161128197944
27,"CADE",0.0051114,0.1486031778
28,"CADE",2.0349248,7.1695341102
32,"CADE",0.005930168,0.2165748354
10,"PICO",0.00769135,0.0190373106
15,"PICO",0.009095488,0.022427097
19,"PICO",0.010496006,0.035197701
24,"PICO",0.01240726,0.0519958362
29,"PICO",0.011466372,0.103346859
1,"PIJE",15.4083592,15.837382869
6,"PIJE",14.6707272,14.924775558
12,"PIJE",14.5372588,13.4641726758
17,"PIJE",14.0429304,13.3585167408
22,"PIJE",14.1799818,12.6331731372
27,"PIJE",14.103371,11.72548105575
32,"PIJE",14.412621,12.124942368
1,"PILA",5.2917948,10.587103721121
6,"PILA",1.32432233,1.4939058057
7,"PILA",11.1037526,29.3543496913482
11,"PILA",1.6599356,1.975410591
12,"PILA",0.84710404,0.1791191094
13,"PILA",10.5889364,23.7891858553067
16,"PILA",1.5498852,2.3077156872
17,"PILA",0.86931713,0.2190197856
18,"PILA",10.4474826,24.3772380398364
21,"PILA",1.4993044,2.5689467958
22,"PILA",0.86171258,0.253735251
23,"PILA",9.1697656,22.9420109028899
27,"PILA",0.62675151,0.1941336012
28,"PILA",8.8631642,23.7742684872
32,"PILA",0.6425531254,0.2190904716
1,"PIMO",13.9852884,16.1649999126
5,"PIMO",12.7168564,13.1327684334
10,"PIMO",11.91815,11.2881402942
15,"PIMO",11.8316024,10.3510630608
19,"PIMO",12.0401804,13.8338227566
24,"PIMO",9.3461692,14.941689147
29,"PIMO",9.1225456,15.3791812944
1,"PIPO",15.6351074,17.41989711
6,"PIPO",12.882823,11.3079959916
11,"PIPO",11.05155474,11.6126039568
16,"PIPO",9.35013256,11.661556368
21,"PIPO",7.63769838,12.0437901276
1,"QUCH",0.0764758192,0.083079612
6,"QUCH",0.0762298468,0.0370166874
11,"QUCH",0.081947211,0.0210078792
21,"QUCH",0.0700272638,0.0176605044
1,"QUKE",5.000225861,5.13724118549891
6,"QUKE",7.42199675,7.4430457332
7,"QUKE",0.0302407936,0.0500865287885017
11,"QUKE",14.4679998,14.9033325672
12,"QUKE",0.20229748,0.2375222388
13,"QUKE",0.032588528,0.0606587963648973
16,"QUKE",14.3575606,15.429069117
17,"QUKE",0.20514488,0.2624005692
18,"QUKE",0.03462828,0.0381028930445755
21,"QUKE",14.28226468,15.3179185236
22,"QUKE",0.2135353,0.296468865
23,"QUKE",0.03674396,0.0413913653667776
27,"QUKE",0.22279524,0.333892240374
28,"QUKE",0.031402496,0.0474397308
32,"QUKE",0.2256983,0.387661659
