"Step","Species","SimAbsDen","ExpAbsDen"
1,"ABCO",233.572966666667,540
6,"ABCO",314.95323,168
7,"ABCO",687.8218,1236
11,"ABCO",666.30412,2919
12,"ABCO",97.6,38
13,"ABCO",814.40018,1166
16,"ABCO",767.7097,716
17,"ABCO",111.8,210
18,"ABCO",908.97768,1556
21,"ABCO",878.54884,314
22,"ABCO",124.6,42
23,"ABCO",1017.42248,1276
27,"ABCO",147.8,36
28,"ABCO",1106.6665,1064
32,"ABCO",155.2,24
1,"ABMA",1001.844342,1981.33333333333
6,"ABMA",1012.72874666667,2060.66666666667
11,"ABMA",1007.70956666667,3528.66666666667
16,"ABMA",1006.13703333333,1905.33333333333
21,"ABMA",1007.34799333333,1644.66666666667
28,"ABMA",0.888889,4
1,"CADE",390.2765929,808
6,"CADE",839.0022,1260
7,"CADE",55.46664,208
11,"CADE",887.9818,1528
13,"CADE",55.822244,208
16,"CADE",919.1834,4656
17,"CADE",1.8,10
18,"CADE",56.711118,208
21,"CADE",962.539,1058
22,"CADE",1.8,20
23,"CADE",59.55556,249
27,"CADE",1.6,25
28,"CADE",63.64443,247
32,"CADE",1.6,30
1,"PICO",33.741492,68
6,"PICO",35.736948,70
10,"PICO",1.5450658,14
11,"PICO",35.374158,66
15,"PICO",1.5450658,14
16,"PICO",34.104334,64
19,"PICO",1.5450658,16
21,"PICO",35.374154,60
24,"PICO",1.5450658,18
29,"PICO",1.5450658,18
1,"PIJE",140.8,324
6,"PIJE",145,302
12,"PIJE",144,270
17,"PIJE",144.4,228
22,"PIJE",148.8,208
27,"PIJE",146.6,202
32,"PIJE",148.4,196
1,"PILA",46.5918165333333,170.666666666667
6,"PILA",10.988895,72
7,"PILA",77.3333458,342
11,"PILA",6.712022,154
12,"PILA",3.4,6
13,"PILA",73.2444298,258
16,"PILA",2.902496,212
17,"PILA",3.4,4
18,"PILA",70.044422,232
21,"PILA",1.269842,222
22,"PILA",3.4,4
23,"PILA",66.1333418,157
27,"PILA",3,4
28,"PILA",63.99999,143
32,"PILA",2.6,4
1,"PIMO",44.5059719,120
5,"PIMO",82.918444,226
6,"PIMO",7.981864,14
10,"PIMO",83.090168,216
11,"PIMO",7.619052,14
15,"PIMO",83.261828,220
16,"PIMO",7.074834,14
19,"PIMO",86.35193,387
21,"PIMO",6.530616,10
24,"PIMO",90.815438,422
29,"PIMO",92.017148,456
1,"PIPO",44.44451,94
6,"PIPO",45.351476,64
11,"PIPO",42.26755,97
16,"PIPO",41.541954,96
21,"PIPO",39.546466,64
1,"QUCH",6.167804,84
6,"QUCH",5.260774,80
11,"QUCH",4.716556,112
21,"QUCH",3.809526,114
1,"QUKE",107.869855333333,296.666666666667
6,"QUKE",161.1602,378
7,"QUKE",1.777778,68
11,"QUKE",294.60282,1074
12,"QUKE",14.2,200
13,"QUKE",1.777778,68
16,"QUKE",283.90016,1010
17,"QUKE",13.8,273
18,"QUKE",1.9555558,61
21,"QUKE",275.011544,502
22,"QUKE",13.4,195
23,"QUKE",1.9555558,73
27,"QUKE",13.8,225
28,"QUKE",1.9555562,64
32,"QUKE",13.2,248
