"Step","Species","SaplAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",113,111.565,0,1,"Sig","NS"
6,"ABCO",101,636.734733333333,0,1.19467764673926e-20,"Sig","Sig"
11,"ABCO",99,1509.47866666667,0,5.21683950212515e-24,"Sig","Sig"
16,"ABCO",103,2434.77133333333,0,9.85678397292567e-25,"Sig","Sig"
21,"ABCO",99,3314.528,0,2.9020510944804e-25,"Sig","Sig"
1,"CADE",385,362.4492,0,6.11390471244119e-24,"Sig","Sig"
6,"CADE",315,471.050666666667,0,8.58883775885592e-18,"Sig","Sig"
11,"CADE",290,654.633466666667,0,2.74159662691282e-20,"Sig","Sig"
16,"CADE",256,855.449733333333,0,6.85229956461742e-24,"Sig","Sig"
21,"CADE",199,1047.014,0,4.53464540447683e-24,"Sig","Sig"
1,"PILA",58,56.2358,0,1,"Sig","NS"
6,"PILA",60,57.92896,0.0181607653876828,2.01151203995736e-05,"Sig","Sig"
11,"PILA",64,59.98488,0.878002037637015,2.32303657304724e-07,"NS","Sig"
16,"PILA",85,61.91988,0,9.63013307773182e-17,"Sig","Sig"
21,"PILA",103,63.4315933333333,0,1.46401877270694e-19,"Sig","Sig"
1,"PIPO",12,10.8844,0,1,"Sig","NS"
6,"PIPO",9,50.06804,0,3.36605921237513e-15,"Sig","Sig"
11,"PIPO",12,106.78762,0,2.02240217856298e-16,"Sig","Sig"
16,"PIPO",11,154.860266666667,0,5.11593629914711e-15,"Sig","Sig"
21,"PIPO",11,194.588133333333,0,4.48370127038014e-14,"Sig","Sig"
1,"QUCH",3,2.72109,0,1,"Sig","NS"
6,"QUCH",38,2.72109,0,1,"Sig","NS"
11,"QUCH",52,2.902496,0,2.10980965167303e-29,"Sig","Sig"
16,"QUCH",49,2.84202733333333,0,3.19276693490607e-28,"Sig","Sig"
21,"QUCH",56,2.84202733333333,0,4.42351108639349e-29,"Sig","Sig"
1,"QUKE",23,16.1451,0,2.78279506916741e-19,"Sig","Sig"
6,"QUKE",18,31.1413533333333,0.104108913721819,2.25760579816923e-10,"NS","Sig"
11,"QUKE",36,66.1526933333333,0,8.71298658324992e-14,"Sig","Sig"
16,"QUKE",38,103.099053333333,0,3.97074016897889e-14,"Sig","Sig"
21,"QUKE",35,139.561666666667,0,1.40504843219515e-16,"Sig","Sig"
