"Step","Species","AdultAbsBA","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",96.8483887734481,98.6573006666667,0.00036509582220412,3.80811594835091e-12,"Sig","Sig"
6,"ABMA",97.520630229036,98.0923913333333,0.0876725454949797,0.0784131919498951,"NS","NS"
11,"ABMA",94.4356457578324,97.6999086666667,0.813840984041982,7.72236069058454e-07,"NS","Sig"
16,"ABMA",91.2557799384,97.056504,0.706014223318317,6.27609285125774e-08,"NS","Sig"
21,"ABMA",88.4665064514,96.2988653333333,0.0540588449503452,7.44520049506205e-10,"NS","Sig"
