"Step","Species","SaplAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",1422,1424.66666666667,0.622063998847332,9.82861696437104e-10,"NS","Sig"
6,"ABMA",1351,1458.13333333333,0,1.28889083254466e-17,"Sig","Sig"
11,"ABMA",1271,1502.33333333333,0,1.68749534821622e-20,"Sig","Sig"
16,"ABMA",1137,1550.6,0,1.20664262698471e-22,"Sig","Sig"
21,"ABMA",1013,1597.66666666667,0,2.01140089295216e-23,"Sig","Sig"
1,"PIMO",6,6,1,1,"NS","NS"
6,"PIMO",6,6.53333333333333,0.110767656131082,0.014771636573008,"NS","Sig"
11,"PIMO",6,6.86666666666667,0,0.0218944631471159,"Sig","Sig"
16,"PIMO",6,7.26666666666667,0.942024791709002,0.00917313097138123,"NS","Sig"
21,"PIMO",3,7.4,0.622063998847332,1.92072083445414e-08,"NS","Sig"
