"Step","Species","SdlAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",1665,10.6666666666667,0,3.55648190156615e-38,"Sig","Sig"
6,"ABMA",1562,25.7333333333333,0,3.22085587227087e-37,"Sig","Sig"
8,"ABMA",118,28.1333333333333,0,3.18938830647074e-17,"Sig","Sig"
9,"ABMA",53,28.1333333333333,0.0236002929298658,3.82702918595102e-11,"Sig","Sig"
10,"ABMA",55,29.3333333333333,0,2.39561393454397e-11,"Sig","Sig"
11,"ABMA",2099,29.5333333333333,0,2.20501233099649e-37,"Sig","Sig"
12,"ABMA",39,29.2,0.183048249959822,1.36232610296871e-07,"NS","Sig"
13,"ABMA",5187,29.8666666666667,0,2.57674430303342e-44,"Sig","Sig"
14,"ABMA",11,28.2,0.00103448275862067,1.20680487870411e-10,"Sig","Sig"
15,"ABMA",177,28.5333333333333,0,4.51352309547729e-23,"Sig","Sig"
16,"ABMA",1377,27.2,0,3.86021598533303e-35,"Sig","Sig"
17,"ABMA",1,27.2,0,8.51895000959951e-13,"Sig","Sig"
18,"ABMA",509,27.9333333333333,0,3.20587950950199e-29,"Sig","Sig"
21,"ABMA",1234,30.1333333333333,0,6.246020460573e-33,"Sig","Sig"
22,"ABMA",8,30,0.0129591293997487,6.61355967998788e-10,"Sig","Sig"
1,"PIMO",7,0.466666666666667,0,4.62070226598489e-17,"Sig","Sig"
6,"PIMO",7,0.0666666666666667,0,1.26435827294566e-21,"Sig","Sig"
11,"PIMO",7,0.133333333333333,0,1.0945694908514e-19,"Sig","Sig"
16,"PIMO",7,0.133333333333333,0,1.0945694908514e-19,"Sig","Sig"
21,"PIMO",5,0.2,0,1.55907052260966e-16,"Sig","Sig"
