"Step","Species","SaplAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",310,309.8,0,0.082417877879494,"Sig","NS"
6,"ABMA",324,345,0,2.74924315187414e-11,"Sig","Sig"
11,"ABMA",366,396.466666666667,0.00738656987295824,2.99313163309002e-12,"Sig","Sig"
16,"ABMA",369,447.666666666667,0,4.605655472121e-16,"Sig","Sig"
21,"ABMA",401,501.533333333333,0,1.95626771286325e-16,"Sig","Sig"
1,"PICO",14,17,0,1,"Sig","NS"
6,"PICO",16,19.7333333333333,0.351349991005535,2.76181467746928e-07,"NS","Sig"
11,"PICO",16,23,0,4.21283853529176e-13,"Sig","Sig"
16,"PICO",16,25.8666666666667,0.0599495416104434,8.73397647195402e-11,"NS","Sig"
21,"PICO",15,28.4,0.00965517241379307,1.56074674348197e-11,"Sig","Sig"
