"","species","ba90","ba100","ba110","den90","den100","den110"
"1","ABCO",2.83806258323037,2.8679859094845,2.97002610493835,0.0889281810950857,0.133293324486898,0.028178676413141
"2","ABMA",0.897945586089207,0.896850829905687,0.892728149531986,0.217321985560233,0.235555627945893,0.0817664409247193
"3","CADE",0.941960359626524,0.924023045892207,0.916117633464456,0.368316659455156,0.3569964900335,0.344644331157694
"4","PICO",0.986712397876907,0.929584745674138,1.01896475594016,0.387610237312315,0.482619600435185,0.174581104984753
"5","PIJE",-0.743493552786135,2.48113481123737,1.773560017005,-0.368734820048575,2.98272933182317,-0.0802071041153283
"6","PILA",2.32750496400037,2.5907966602911,2.5128709231805,0.393227021185021,0.463055580583034,0.192213883325349
"7","PIMO",0.902073520800402,0.956754161852177,0.923215446373744,0.608136972652783,0.669582464790236,0.377688404505834
"8","PIPO",0.450504659690227,0.691911888585908,0.811011988112334,-0.821587714625989,1.16951375528838,-0.27626794540183
"9","QUCH",-0.0744440575201927,7.0914178209173,2.18186761867084,0.918749471719053,1.21869342008574,1.05238575851455
"10","QUKE",1.01110502030491,1.01724488594093,1.0037653377807,0.845900326004262,0.832281204901323,0.84082055750225
