"","species","ba90","ba100","ba110","den90","den100","den110"
"1","ABCO",3.0700509271536,2.8679859094845,3.21402765428175,0.919943363100565,1.36699281438452,0.219143229936833
"2","ABMA",0.934597458476862,0.896850829905687,0.929124019569862,2.04132496177262,2.21856336522008,0.764235626847239
"3","CADE",1.0286245729472,0.924023045892207,1.0000031999389,2.41900377748951,2.3459017263194,2.28045363724782
"4","PICO",0.996218150090441,0.929584745674138,1.02879755439173,1.20065727696896,1.47985448568554,0.554044241232135
"5","PIJE",-0.972258679373152,2.48113481123737,1.70467063680174,-2.90593950099359,27.4773499433729,-0.620780144333087
"6","PILA",2.39451611858644,2.5907966602911,2.5827188694743,2.701598541654,3.55768350033503,1.00740694238031
"7","PIMO",0.94520411239016,0.956754161852177,0.967100897820655,3.69333771109986,4.05614253255049,2.30652683374743
"8","PIPO",0.469069402016468,0.691911888585908,0.838751621875524,1.97941733908102,1.29686010128936,-0.253771145822584
"9","QUCH",-0.782630214654185,7.0914178209173,1.7139324917922,-13.7199921110045,-15.6189899353636,-14.0318101135274
"10","QUKE",1.01283601862188,1.01724488594093,1.00545353501675,2.62073940678306,2.57700530569169,2.59968660400934
