"Step","Species","SimAbsDen","ExpAbsDen"
1,"ABCO",30.6148203333333,230.666666666667
6,"ABCO",24.488888,81.5
7,"ABCO",42.6111,538
11,"ABCO",42.6111,148
12,"ABCO",5.844446,17
13,"ABCO",42.2889,539
16,"ABCO",42.46666,155
17,"ABCO",5.666666,17
18,"ABCO",41.43333,571
21,"ABCO",41.50001,157
22,"ABCO",5.422223,18
23,"ABCO",41.52223,553
27,"ABCO",5.377779,16
28,"ABCO",41.1111,525
32,"ABCO",5.366667,11
1,"ABMA",152.640766666667,795.333333333333
6,"ABMA",232.94995,1140.5
7,"ABMA",0,1
11,"ABMA",236.33345,1079.5
13,"ABMA",0,2
16,"ABMA",239.10555,989
18,"ABMA",0,2
21,"ABMA",243.73335,907.5
23,"ABMA",0,2
28,"ABMA",0,2
1,"CADE",107.544426666667,256.333333333333
6,"CADE",155.22225,316.5
7,"CADE",16.34444,73
11,"CADE",310.8444,613
12,"CADE",0,5
13,"CADE",15.80001,85
16,"CADE",312.2444,589
17,"CADE",0,5
18,"CADE",15.17777,103
21,"CADE",311.1999,527
22,"CADE",0,10
23,"CADE",14.61111,119
27,"CADE",0,12
28,"CADE",14.04444,120
32,"CADE",0,15
1,"PICO",0,2
5,"PICO",0,2
10,"PICO",0,4
15,"PICO",0,6
19,"PICO",0,7
24,"PICO",0,8
29,"PICO",0,9
1,"PIJE",51.58891,140
6,"PIJE",51.27778,131
12,"PIJE",50.41111,124
17,"PIJE",49.55555,114
22,"PIJE",49.14444,104
27,"PIJE",48.28888,101
32,"PIJE",47.52222,97
1,"PILA",8.848139,77
6,"PILA",4.06111095,34.5
7,"PILA",16.96667,162
11,"PILA",6.544445,70
12,"PILA",1.2111088,3
13,"PILA",15.48889,122
16,"PILA",6.255555,91
17,"PILA",1.0666653,2
18,"PILA",14.34444,100
21,"PILA",5.911112,109
22,"PILA",0.9999992,2
23,"PILA",13.26667,73
27,"PILA",0.9999992,2
28,"PILA",12.33334,69
32,"PILA",0.8888886,2
1,"PIMO",9.4111085,24.5
5,"PIMO",36.1889,90
6,"PIMO",0.514815,3.66666666666667
10,"PIMO",36.75555,93
11,"PIMO",0.850001,4.5
12,"PIMO",0,1
15,"PIMO",38.03333,105
16,"PIMO",0.8722225,4.5
17,"PIMO",0,1
19,"PIMO",37.5111,190
21,"PIMO",1.0277779,3.5
24,"PIMO",37.52223,208
29,"PIMO",37.75556,226
1,"PIPO",15.23889,24
6,"PIPO",25.70001,31
7,"PIPO",0,1
11,"PIPO",21.77779,34
16,"PIPO",18.21111,31
21,"PIPO",15.2889,31
1,"QUCH",2.655559,7
6,"QUCH",2.655557,40
11,"QUCH",2.477779,53
16,"QUCH",2.388889,49
21,"QUCH",2.166665,57
1,"QUKE",90.2555189666667,108.666666666667
6,"QUKE",130.9333555,147.5
7,"QUKE",0.2888886,7
11,"QUKE",250.0556,280
12,"QUKE",4.366664,60
13,"QUKE",0.3444441,18
16,"QUKE",241.8333,272
17,"QUKE",4.522222,97
18,"QUKE",0.3111108,27
21,"QUKE",233.9999,250
22,"QUKE",4.411112,95
23,"QUKE",0.3111108,32
27,"QUKE",4.444444,107
28,"QUKE",0.2888886,27
32,"QUKE",4.288889,121
