"Step","Species","SaplAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",388,306.252133333333,0,1.21375046320158e-29,"Sig","Sig"
7,"ABCO",401,447.762933333333,0,4.33164273672733e-12,"Sig","Sig"
13,"ABCO",402,740.0296,0,1.25185042968117e-20,"Sig","Sig"
18,"ABCO",429,941.985266666667,0,2.45639572922638e-21,"Sig","Sig"
23,"ABCO",414,1138.54866666667,0,6.17025867676369e-22,"Sig","Sig"
28,"ABCO",388,0,1,1,"NS","NS"
1,"ABMA",1,0,0,0,"Sig","Sig"
7,"ABMA",1,0,0,0,"Sig","Sig"
13,"ABMA",2,0,0,0,"Sig","Sig"
18,"ABMA",2,0,0,0,"Sig","Sig"
23,"ABMA",2,0,0,0,"Sig","Sig"
28,"ABMA",1,0,1,1,"NS","NS"
1,"CADE",38,23.88148,0,8.83588836228715e-25,"Sig","Sig"
7,"CADE",37,25.3037133333333,0,3.71968375654156e-14,"Sig","Sig"
13,"CADE",49,29.0370466666667,0,1.33524753763789e-13,"Sig","Sig"
18,"CADE",67,31.4074,0,5.33190606937355e-16,"Sig","Sig"
23,"CADE",81,32.7703733333333,0,2.74717421841066e-18,"Sig","Sig"
28,"CADE",78,0,1,1,"NS","NS"
1,"PILA",118,51.14076,0,1.57468869870878e-27,"Sig","Sig"
7,"PILA",116,49.7777866666667,0,1.09999602392088e-22,"Sig","Sig"
13,"PILA",89,51.0814733333333,0,4.83149029613584e-14,"Sig","Sig"
18,"PILA",69,53.6296466666667,0.210024191330388,1.62391166555127e-08,"NS","Sig"
23,"PILA",42,53.1555666666667,0.198742146112015,1.77406538588324e-06,"NS","Sig"
28,"PILA",37,0,1,1,"NS","NS"
1,"PIPO",2,0.829629733333333,0,1.27518344451534e-11,"Sig","Sig"
7,"PIPO",1,0.592592666666667,0,0.00268854635105108,"Sig","Sig"
1,"QUKE",4,0.888889,0,1,"Sig","NS"
7,"QUKE",6,0.770370466666667,0,9.47188968648114e-19,"Sig","Sig"
13,"QUKE",16,0.651852066666667,0,4.13442131573525e-22,"Sig","Sig"
18,"QUKE",26,0.592592666666667,0,2.30295359475146e-26,"Sig","Sig"
23,"QUKE",31,0.592592666666667,0,1.86317019911562e-27,"Sig","Sig"
28,"QUKE",26,0,1,1,"NS","NS"
