"Step","Species","SaplAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"PICO",2,1.65951526666667,0,3.5478290252988e-05,"Sig","Sig"
5,"PICO",2,1.65951526666667,0,3.5478290252988e-05,"Sig","Sig"
10,"PICO",3,1.60229053333333,0,4.72800758066161e-11,"Sig","Sig"
15,"PICO",5,1.60229053333333,0,2.36899099986015e-16,"Sig","Sig"
19,"PICO",6,1.60229053333333,0,6.52262604833241e-18,"Sig","Sig"
24,"PICO",7,0,1,1,"NS","NS"
29,"PICO",8,0,1,1,"NS","NS"
1,"PIMO",53,49.4992666666667,0,1.45961788842116e-14,"Sig","Sig"
5,"PIMO",56,46.40916,0,3.98073897806484e-14,"Sig","Sig"
10,"PIMO",55,45.15022,0,1.25763924437184e-10,"Sig","Sig"
15,"PIMO",61,46.1802666666667,0.0304855853021158,2.81227023381581e-11,"Sig","Sig"
19,"PIMO",131,45.26466,0,2.74946508758473e-20,"Sig","Sig"
24,"PIMO",140,0,1,1,"NS","NS"
29,"PIMO",156,0,1,1,"NS","NS"
