"Step","Species","SaplAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",481,502.554466666667,0,2.19297482514606e-19,"Sig","Sig"
6,"ABMA",452,488.465733333333,0,6.95690640015685e-18,"Sig","Sig"
11,"ABMA",417,502.554666666667,0,6.71340771678986e-20,"Sig","Sig"
16,"ABMA",373,516.825533333333,0,1.0463197942498e-19,"Sig","Sig"
21,"ABMA",345,0,1,1,"NS","NS"
1,"PIMO",3,2.72109,0,1,"Sig","NS"
6,"PIMO",3,2.72109,0,1,"Sig","NS"
11,"PIMO",2,2.66062133333333,0,3.08947202811294e-08,"Sig","Sig"
16,"PIMO",2,2.60015266666667,0.702701575047153,4.01374051159496e-06,"NS","Sig"
21,"PIMO",2,0,1,1,"NS","NS"
