"Step","Species","SaplAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABCO",113,110.355666666667,0.110767656131079,1.52802903550516e-07,"NS","Sig"
6,"ABCO",101,103.340546666667,0.8659207913783,0.000787232489080003,"NS","Sig"
11,"ABCO",99,278.034933333333,0,7.27993309728977e-18,"Sig","Sig"
16,"ABCO",103,492.154133333333,0,3.67301828400257e-20,"Sig","Sig"
21,"ABCO",99,0,1,1,"NS","NS"
1,"CADE",385,372.547133333333,0,4.90503615013938e-13,"Sig","Sig"
6,"CADE",315,332.5172,0.00739209911648253,9.95087811650952e-12,"Sig","Sig"
11,"CADE",290,356.462666666667,0,1.80784765047947e-13,"Sig","Sig"
16,"CADE",256,392.501933333333,0,1.07017908713438e-15,"Sig","Sig"
21,"CADE",199,0,1,1,"NS","NS"
1,"PILA",58,56.9009933333333,0.622122425925878,0.000459240091628811,"NS","Sig"
6,"PILA",60,50.1285066666667,0.0114759327471202,5.90844289822033e-12,"Sig","Sig"
11,"PILA",64,45.7142866666667,0,1.74678497123673e-14,"Sig","Sig"
16,"PILA",85,42.2675666666667,0,1.40307449992288e-17,"Sig","Sig"
21,"PILA",103,0,1,1,"NS","NS"
1,"PIPO",12,10.340156,0.046598295949028,2.24094253782019e-08,"Sig","Sig"
6,"PIPO",9,15.7823066666667,0.104769450451057,4.83316907614255e-09,"NS","Sig"
11,"PIPO",12,41.4210266666667,0.0171611832474722,1.08809470438805e-11,"Sig","Sig"
16,"PIPO",11,58.0498933333333,0,3.23900929805297e-12,"Sig","Sig"
21,"PIPO",11,0,1,1,"NS","NS"
1,"QUCH",3,2.66062133333333,0,6.40323823194785e-05,"Sig","Sig"
6,"QUCH",38,2.23734066666667,0,9.22139146401715e-26,"Sig","Sig"
11,"QUCH",52,1.81406,0,1.01900473908155e-27,"Sig","Sig"
16,"QUCH",49,1.81406,0,2.41481241842612e-27,"Sig","Sig"
21,"QUCH",56,0,1,1,"NS","NS"
1,"QUKE",23,21.4663666666667,0.0287281172321186,2.19609638453425e-09,"Sig","Sig"
6,"QUKE",18,16.5684133333333,0,7.05317509115517e-05,"Sig","Sig"
11,"QUKE",36,13.6054333333333,0,3.89236091364725e-22,"Sig","Sig"
16,"QUKE",38,12.63794,0,1.12712126272043e-21,"Sig","Sig"
21,"QUKE",35,0,1,1,"NS","NS"
