"Step","Species","AdultAbsDen","simMean","pval","signif"
1,"ABCO",13,27.976202,1.77323560834321e-12,"Sig"
6,"ABCO",16,71.130954,1.03755710981674e-14,"Sig"
12,"ABCO",17,85.05953,1.32961567854934e-14,"Sig"
17,"ABCO",17,102.857143333333,7.28294647542916e-16,"Sig"
22,"ABCO",18,118.035714666667,3.71312854577697e-15,"Sig"
27,"ABCO",16,128.869047333333,2.30492179939008e-15,"Sig"
32,"ABCO",11,140.773816666667,2.69562901641513e-15,"Sig"
1,"CADE",3,3.57143,1,"NS"
6,"CADE",3,3.452382,6.82100620745813e-05,"Sig"
12,"CADE",5,3.452382,2.03591837887209e-11,"Sig"
17,"CADE",5,3.333334,2.56714099408811e-10,"Sig"
22,"CADE",10,3.154762,4.97336385174221e-18,"Sig"
27,"CADE",12,3.035714,1.95441008360215e-18,"Sig"
32,"CADE",15,2.97619,2.30289898923924e-20,"Sig"
1,"PIJE",140,140.059524466667,0.885933491655354,"NS"
6,"PIJE",131,140.059539333333,6.45772761197426e-08,"Sig"
12,"PIJE",124,139.583339333333,1.53233711781214e-10,"Sig"
17,"PIJE",114,137.797608,1.04383070181095e-09,"Sig"
22,"PIJE",104,138.809526666667,1.67200505038601e-11,"Sig"
27,"PIJE",101,140.119052666667,1.58885275824299e-12,"Sig"
32,"PIJE",97,139.583336666667,3.29303423479504e-12,"Sig"
1,"PILA",4,3.6309506,0.00355433563773888,"Sig"
6,"PILA",4,3.6309448,0.0915620571940097,"NS"
12,"PILA",3,3.6904702,0.0373255299431739,"Sig"
17,"PILA",2,3.452377,0.00263040872674249,"Sig"
22,"PILA",2,3.27380706666667,0.0062226081487175,"Sig"
27,"PILA",2,3.03571186666667,0.013703881144771,"Sig"
32,"PILA",2,3.273807,0.0106828417930645,"Sig"
1,"PIMO",1,0.892857,1,"NS"
6,"PIMO",1,0.892857,1,"NS"
12,"PIMO",1,0.892857,1,"NS"
17,"PIMO",1,0.892857,1,"NS"
1,"QUKE",16,16.1905116,0.217499517380559,"NS"
6,"QUKE",19,15.4166712,4.45116172781593e-09,"Sig"
12,"QUKE",60,14.583315,2.93592573505366e-23,"Sig"
17,"QUKE",97,13.9880852666667,1.7217204514594e-24,"Sig"
22,"QUKE",95,13.4523825333333,1.38447477356506e-23,"Sig"
27,"QUKE",107,12.7380958666667,1.09194059832376e-24,"Sig"
32,"QUKE",121,12.2023805333333,4.07373632040884e-25,"Sig"
