"Step","Species","AdultAbsDen","simMean","pval","signif"
1,"ABMA",1623,1643.737872,2.40560147154376e-12,"Sig"
6,"ABMA",1554,1641.76523333333,2.05290927973165e-15,"Sig"
11,"ABMA",1477,1623.02775333333,1.42086392492398e-17,"Sig"
16,"ABMA",1348,1605.33838,7.15746879104506e-21,"Sig"
21,"ABMA",1228,1589.49788666667,7.19751428220776e-22,"Sig"
1,"PIMO",7,7.45808306666667,3.19299303071107e-06,"Sig"
6,"PIMO",7,7.7662704,0.0903727429291098,"NS"
11,"PIMO",7,7.39644826666667,0.259858673915079,"NS"
16,"PIMO",7,7.70463373333333,0.0313951234066756,"Sig"
21,"PIMO",5,7.5813584,5.26969059131948e-06,"Sig"
