"Step","Species","AdultAbsDen","simMean","pval","signif"
1,"ABMA",762,800.541979333333,9.3362381912233e-14,"Sig"
6,"ABMA",727,816.568046666667,2.7083229767552e-16,"Sig"
11,"ABMA",682,819.772986666667,4.68721894795315e-19,"Sig"
16,"ABMA",630,822.053673333333,4.56951263971354e-20,"Sig"
21,"ABMA",587,828.09426,4.15743604989208e-21,"Sig"
1,"PIMO",3,2.77367,1,"NS"
6,"PIMO",3,2.71203266666667,0.000359786912787182,"Sig"
11,"PIMO",2,2.65039533333333,1.9984539016757e-06,"Sig"
16,"PIMO",2,2.588758,3.50678387693324e-05,"Sig"
21,"PIMO",2,2.52712066666667,0.000270131776162313,"Sig"
