"Step","Species","SimAbsDen","ExpAbsDen"
1,"ABCO",232.832053333333,540
6,"ABCO",297.9872,168
7,"ABCO",680.5333,1236
11,"ABCO",633.65102,2919
12,"ABCO",91.8,38
13,"ABCO",805.15528,1166
16,"ABCO",755.5556,716
17,"ABCO",117,210
18,"ABCO",890.31094,1556
21,"ABCO",844.80736,314
22,"ABCO",130.4,42
23,"ABCO",994.13322,1276
27,"ABCO",150.8,36
28,"ABCO",1076.9782,1064
32,"ABCO",160.8,24
1,"ABMA",999.485777333333,1981.33333333333
6,"ABMA",1012.18404,2060.66666666667
11,"ABMA",1002.75201333333,3528.66666666667
16,"ABMA",995.67614,1905.33333333333
21,"ABMA",993.923353333333,1644.66666666667
28,"ABMA",0.888889,4
1,"CADE",384.290214,808
6,"CADE",822.1316,1260
7,"CADE",50.666668,208
11,"CADE",856.236,1528
13,"CADE",52.977782,208
16,"CADE",896.6892,4656
17,"CADE",2.8,10
18,"CADE",51.73335,208
21,"CADE",944.0362,1058
22,"CADE",2.6,20
23,"CADE",51.200024,249
27,"CADE",2.6,25
28,"CADE",51.2,247
32,"CADE",2.4,30
1,"PICO",33.560092,68
6,"PICO",33.922912,70
10,"PICO",1.71674,14
11,"PICO",33.560132,66
15,"PICO",1.71674,14
16,"PICO",32.47164,64
19,"PICO",1.3733916,16
21,"PICO",31.383214,60
24,"PICO",1.3733916,18
29,"PICO",1.2017174,18
1,"PIJE",138,324
6,"PIJE",140,302
12,"PIJE",139,270
17,"PIJE",136,228
22,"PIJE",136,208
27,"PIJE",135.6,202
32,"PIJE",137.2,196
1,"PILA",46.7742866666667,170.666666666667
6,"PILA",9.365534,72
7,"PILA",76.266682,342
11,"PILA",3.990932,154
12,"PILA",3.4,6
13,"PILA",67.555532,258
16,"PILA",1.088436,212
17,"PILA",3.6,4
18,"PILA",63.288868,232
21,"PILA",0.362812,222
22,"PILA",3.2,4
23,"PILA",59.37778,157
27,"PILA",3.2,4
28,"PILA",56.711106,143
32,"PILA",3,4
1,"PIMO",44.2533249,120
5,"PIMO",83.948512,226
6,"PIMO",8.707488,14
10,"PIMO",86.180246,216
11,"PIMO",8.526082,14
15,"PIMO",88.240318,220
16,"PIMO",8.344676,14
19,"PIMO",90.643758,387
21,"PIMO",8.888894,10
24,"PIMO",87.5536878,422
29,"PIMO",88.412024,456
1,"PIPO",43.71885,94
6,"PIPO",40.997766,64
11,"PIPO",36.4626,97
16,"PIPO",32.471656,96
21,"PIPO",29.93196,64
1,"QUCH",6.34921,84
6,"QUCH",5.623586,80
11,"QUCH",5.079368,112
21,"QUCH",4.716556,114
1,"QUKE",107.567522666667,296.666666666667
6,"QUKE",159.95315,378
7,"QUKE",1.6000002,68
11,"QUKE",291.33752,1074
12,"QUKE",13.4,200
13,"QUKE",1.6000002,68
16,"QUKE",277.9139,1010
17,"QUKE",12.6,273
18,"QUKE",1.6000002,61
21,"QUKE",254.875118,502
22,"QUKE",11.2,195
23,"QUKE",1.4222224,73
27,"QUKE",10.2,225
28,"QUKE",1.0666668,64
32,"QUKE",9.6,248
