"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
10,"PICO",14,1.71674,0,1,"Sig","NS"
15,"PICO",14,1.5450658,0,2.16299620183695e-07,"Sig","Sig"
19,"PICO",16,1.5450658,0,1.19261049683758e-07,"Sig","Sig"
24,"PICO",18,1.5450658,0,7.10348879869141e-08,"Sig","Sig"
29,"PICO",18,1.2017174,0,1.47109564484003e-07,"Sig","Sig"
1,"PIMO",226,80.3433536,0,9.37702265934342e-10,"Sig","Sig"
5,"PIMO",226,82.746792,0,5.2279213566808e-10,"Sig","Sig"
10,"PIMO",216,81.030026,0,9.1825780072768e-08,"Sig","Sig"
15,"PIMO",220,80.000038,0,1.18486824991618e-07,"Sig","Sig"
19,"PIMO",387,83.09015,0,1.17157266492727e-08,"Sig","Sig"
24,"PIMO",422,80.858372,0,4.32271330274832e-09,"Sig","Sig"
29,"PIMO",456,81.716726,0,9.88071675176395e-10,"Sig","Sig"
