"Step","Species","AdultAbsDen","simMean","pval","signif"
1,"ABCO",522,54.29999,4.01932470543355e-31,"Sig"
7,"ABCO",538,53.2,7.01364600833837e-28,"Sig"
13,"ABCO",539,53.43334,1.01710055436981e-27,"Sig"
18,"ABCO",571,53.1889,8.03868666826181e-27,"Sig"
23,"ABCO",553,52.71112,5.1670356296605e-27,"Sig"
28,"ABCO",525,52.33333,8.57731016480972e-27,"Sig"
1,"ABMA",1,0,0,"Sig"
7,"ABMA",1,0,0,"Sig"
13,"ABMA",2,0,0,"Sig"
18,"ABMA",2,0,0,"Sig"
23,"ABMA",2,0,0,"Sig"
28,"ABMA",2,0,0,"Sig"
1,"CADE",71,19.76669,2.90877672099971e-24,"Sig"
7,"CADE",73,20.04444,4.09407883519012e-21,"Sig"
13,"CADE",85,20.14444,3.77031447071444e-20,"Sig"
18,"CADE",103,19.17778,3.62036909958954e-21,"Sig"
23,"CADE",119,18.6,2.12555860226352e-22,"Sig"
28,"CADE",120,18.26667,1.81286654641664e-21,"Sig"
1,"PILA",164,23.61111,1.36019994059615e-26,"Sig"
7,"PILA",162,20.9,9.0186717604395e-23,"Sig"
13,"PILA",122,18.6,1.92870450324169e-20,"Sig"
18,"PILA",100,16.65557,2.24601281455697e-20,"Sig"
23,"PILA",73,15.21111,1.21964816556516e-19,"Sig"
28,"PILA",69,13.55554,3.480835012839e-19,"Sig"
1,"PIPO",2,0,0,"Sig"
7,"PIPO",1,0,0,"Sig"
1,"QUKE",5,0.8777779,3.82283615435353e-20,"Sig"
7,"QUKE",7,0.8222224,1.26586328865836e-18,"Sig"
13,"QUKE",18,0.8000002,1.47381131726478e-21,"Sig"
18,"QUKE",27,0.7666669,2.13653837592836e-23,"Sig"
23,"QUKE",32,0.7444447,9.08683142339237e-24,"Sig"
28,"QUKE",27,0.7111114,5.08011025983803e-23,"Sig"
