"Step","Species","AdultAbsBA","simMean","pval","signif"
1,"ABMA",100.5079451,94.4042,6.93237562298409e-15,"Sig"
6,"ABMA",104.0460566,94.92042,8.09139780385732e-13,"Sig"
11,"ABMA",106.7590529,95.52895,8.08178010946599e-12,"Sig"
16,"ABMA",109.5121569,96.26516,1.27419892094849e-11,"Sig"
21,"ABMA",111.2301741,96.84341,9.9130442062286e-12,"Sig"
1,"PIMO",0.135669211,0.09919984,1.96312846208287e-11,"Sig"
6,"PIMO",0.149216575,0.11390145,7.47311221512797e-08,"Sig"
11,"PIMO",0.161577986,0.1290612,1.16467302848128e-05,"Sig"
16,"PIMO",0.168960746,0.1409629,1.01374322211602e-05,"Sig"
21,"PIMO",0.174766423,0.1388418,2.7318813867895e-06,"Sig"
