"Step","Species","AdultAbsDen","simMean","dixonPval","tTestPval","dSig","tsig"
1,"ABMA",281,801.632042666667,0,1.21310249523452e-32,"Sig","Sig"
6,"ABMA",275,826.485113333333,0,2.14430906797151e-27,"Sig","Sig"
11,"ABMA",265,825.336253333333,0,4.98788419488952e-26,"Sig","Sig"
16,"ABMA",257,826.485346666667,0,4.80005109054511e-25,"Sig","Sig"
21,"ABMA",242,829.690373333333,0,2.26787242705388e-25,"Sig","Sig"
